chemin_source,classe,matiere,strate,chapitre_numero,chapitre_titre,type_document,taille_octets,statut
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 03 - Droites perpendiculaires et droites parallèles\02 - Exercices\Exercices - Chap 03 - Droites perpendiculaires et droites parallèles.pdf,6e,Mathematiques,Géométrique,03,Droites perpendiculaires et droites parallèles,Exercices,150297,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 03 - Droites perpendiculaires et droites parallèles\03 - Corrections\Corrigé - Chap 03 - Droites perpendiculaires et droites parallèles.pdf,6e,Mathematiques,Géométrique,03,Droites perpendiculaires et droites parallèles,Corrigé,159855,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 03 - Droites perpendiculaires et droites parallèles\04 - Révisions\Révision - Chap 03 - Droites perpendiculaires et droites parallèles.pdf,6e,Mathematiques,Géométrique,03,Droites perpendiculaires et droites parallèles,Révision,151228,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 04 - Symétrie orthogonale\01 - Cours\Cours - Chap 04 - Symétrie orthogonale.pdf,6e,Mathematiques,Géométrique,04,Symétrie orthogonale,Cours,154179,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 04 - Symétrie orthogonale\02 - Exercices\Exercices - Chap 04 - Symétrie orthogonale.pdf,6e,Mathematiques,Géométrique,04,Symétrie orthogonale,Exercices,147560,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 04 - Symétrie orthogonale\03 - Corrections\Corrigé - Chap 04 - Symétrie orthogonale.pdf,6e,Mathematiques,Géométrique,04,Symétrie orthogonale,Corrigé,163465,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 04 - Symétrie orthogonale\04 - Révisions\Révision - Chap 04 - Symétrie orthogonale.pdf,6e,Mathematiques,Géométrique,04,Symétrie orthogonale,Révision,138684,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 05 - Les angles\01 - Cours\Cours - Chap 05 - Les angles.pdf,6e,Mathematiques,Géométrique,05,Les angles,Cours,171550,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 05 - Les angles\02 - Exercices\Exercices - Chap 05 - Les angles.pdf,6e,Mathematiques,Géométrique,05,Les angles,Exercices,158542,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 05 - Les angles\03 - Corrections\Corrigé - Chap 05 - Les angles.pdf,6e,Mathematiques,Géométrique,05,Les angles,Corrigé,173356,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 05 - Les angles\04 - Révisions\Révision - Chap 05 - Les angles.pdf,6e,Mathematiques,Géométrique,05,Les angles,Révision,164662,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 06 - Les polygones\01 - Cours\Cours - Chap 06 - Les polygones.pdf,6e,Mathematiques,Géométrique,06,Les polygones,Cours,166900,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 06 - Les polygones\02 - Exercices\Exercices - Chap 06 - Les polygones.pdf,6e,Mathematiques,Géométrique,06,Les polygones,Exercices,150380,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\02 - Activités Géométriques\Chap 06 - Les polygones\03 - Corrections\Corrigé - Chap 06 - Les polygones.pdf,6e,Mathematiques,Géométrique,06,Les polygones,Corrigé,157339,premium
